"FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","Rated","STARS","TARGET"
8.3,0.26,1.93,-12.7,0.042,41,479,0.99869,3.1,1.66,12,-1,9,TRUE,2,2.76874350307336
3.3,0.23,-1.39,1.8,0.043,-183,69,0.9933,3.38,0.31,10.8,1,6,TRUE,4,5.96136124513878
8.7,0.3,0.3,-4.5,0.053,48.5,314,0.94736,2.73,2,10.3,0,8,TRUE,4,5.02145017618783
1.2,1.01,0.32,7.2,0.038,-345,277,0.99074,4.29,-1.02,9,-1,7,TRUE,1,2.23502579542692
7,0.21,0.49,34.9,-0.066,400,-239,0.95914,1.48,1.53,10.8,0,8,TRUE,3,4.35490194598427
7.9,0.16,1.32,7.4,0.05,109,152,0.99612,3.12,1.28,3.8,1,8,FALSE,NA,NA
-5.4,0.345,0.27,10.1,0.056,38,187,0.99486,2.14,0.12,14.4,0,7,TRUE,3,4.53059948104695
-3.9,0.74,-0.95,11.7,0.4,293,185,0.99266,3.28,-2.01,16.4,0,7,TRUE,1,3.16862316393976
8,-0.41,0.57,10.4,0.585,176,134,0.98409,3.12,-0.35,10.7,-1,9,FALSE,NA,NA
6.7,0.14,0.49,1.4,-0.233,6,-77,1.01696,2.92,0.42,10.8,0,7,TRUE,2,3.73422500865008
6.4,0.29,0.18,3,0.04,21,-102,0.99736,4.39,1.42,9.2,1,7,TRUE,1,3.60259944286394
6.9,-2.34,1.33,-28.4,0.039,-30,98,1.01251,4.64,0.46,9.2,-1,7,TRUE,3,3.95861640451588
5.6,0.12,0.24,4.8,-0.465,24,72,1.024,3.23,3.32,12.6,-1,6,FALSE,NA,NA
7.9,-0.42,-1.2,1.6,0.582,201,-205,0.95684,4.2,0.69,11.2,1,9,FALSE,NA,NA
6.8,1.19,0.98,1.2,0.034,6,68,1.02652,3.14,0.37,16.8,-1,7,TRUE,1,2.35142832907663
1.2,0.3,0.21,-27.85,0.624,33,153,0.99244,3.96,1.06,10,0,8,FALSE,NA,NA
8.4,0.725,0.11,1.9,-0.296,35,63,0.9965,3.19,2.05,9.6,0,9,FALSE,NA,NA
8,1.2,-0.26,12.6,-0.351,-98,213,0.97841,3.66,0.56,9.3,0,9,FALSE,NA,NA
6.8,1.36,0.3,20.7,0.043,-263,135,1.03284,3.17,0.46,24.4,0,7,TRUE,1,3.08887417090068
14.3,0.32,0.25,-2.3,0.013,13,349,0.9957,4.65,-1.19,12.2,0,6,TRUE,2,3.98298053217102
6.6,0.82,0.24,23.8,0.048,55,347,0.97506,3.2,0.38,15.2,0,7,TRUE,1,3.09906214759915
-4,0.16,0.27,44.4,0.607,227,98,1.03142,2.24,0.34,7.9,1,6,TRUE,2,4.46597785137441
28.3,0.645,0.03,-7.9,0.086,195,39,0.9969,2.93,-0.53,11.6,0,8,TRUE,3,4.31636185546074
4.7,0.98,0.35,24.7,0.235,11,-9,0.9926,2.19,0.38,12.4,0,9,TRUE,1,2.62732893738221
5.8,0.21,0.25,-50.5,0.038,-33,-135,0.96472,3.28,0.49,9.4,0,7,TRUE,2,3.70701256757659
8.9,0.33,-0.5,61.55,0.038,-234,138,0.96369,3.03,0.09,7.8,0,8,FALSE,NA,NA
10.6,-1.02,-0.61,1.1,-0.422,-25,107,0.9923,2.45,-0.34,10.2,0,9,TRUE,3,4.28722081523125
10.9,1.2,1.22,27.9,0.12,207,17,1.0002,4.2,-1.31,11.7,0,12,FALSE,NA,NA
8.8,0.2,-0.59,92.4,0.053,167,214,1.026,3.57,0.79,8.8,-2,9,TRUE,1,1.3273937657365
6.3,1.15,0.24,91.4,0.052,36,135,0.99374,2.52,-1.13,13.7,-2,7,TRUE,1,1.70975094687224
6.5,0.62,1.82,8,-0.179,31,431,0.97319,2.68,0.47,7.4,2,7,TRUE,2,5.04057813437151
9.3,0.31,0.31,59.8,0.379,15,89,0.9976,2.48,0.57,6.3,1,8,TRUE,2,4.10114462851266
0.3,-0.87,-0.8,69.5,0.54,170,83,0.98867,3.09,-0.44,11.7,0,7,FALSE,NA,NA
6,0.25,0.28,-37.7,-0.468,37,132,0.99489,4.01,-1.96,9.4,-1,7,FALSE,NA,NA
9,0.35,1.5,51.9,0.252,282,235,0.9912,3.35,-0.31,11.63333333,1,6,TRUE,2,4.63462793010492
8.7,0.31,0.27,5.6,-0.331,91,192,0.96927,3.65,0.52,13.3,0,9,FALSE,NA,NA
-0.1,0.32,0.37,1.8,-0.286,13,-184,0.9945,4.55,0.56,10.5,0,7,TRUE,1,3.00965711946932
6.6,0.24,0.35,-13.7,0.031,36,135,0.9938,3.24,-1.81,14.5,-1,7,TRUE,1,2.48866541392869
7.2,0.21,1.15,25.4,0.043,186,213,0.98368,2.94,0.5,9.6,0,8,TRUE,1,2.88585135134017
7.4,-1.14,0.62,6,0.022,40,125,0.9928,3.13,2.31,5.2,-1,8,TRUE,1,2.16767104285587
10.6,0.34,0.35,2.2,-0.657,-229,179,0.998,2.87,-2.56,8.3,0,7,TRUE,2,3.78168355627366
4.6,0.24,-0.66,1.3,0.043,71,462,0.95428,3.19,-1.32,14.7,1,8,TRUE,2,4.43499075485779
3.9,0.53,1.21,2,0.058,243,-144,1.01599,3.21,-0.86,12.4,-2,8,FALSE,NA,NA
16,0.43,0.34,1.1,0.068,-166,104,1.0247,3.19,2.03,9.3,0,7,TRUE,2,3.58298514171162
15.8,0.86,0.38,41,0.625,280,132,0.98895,3.28,-0.07,12.4,0,6,TRUE,3,4.60514984151916
-14.7,-0.42,0.31,22.3,0.035,-201,99,0.98914,3.26,-1.28,8.5,1,7,TRUE,1,3.70126416084115
13.6,0.56,0.93,10,0.037,38,379,0.99642,4.53,0.35,15.7,-1,7,TRUE,1,2.44852630007613
6.7,0.41,0.15,41.1,0.033,25,-30,0.94975,3.05,-0.4,0.1,1,7,TRUE,3,4.95216355109958
0.5,0.98,0.53,2.1,-0.487,152,-149,1.01881,2.19,-0.8,6.3,-1,9,TRUE,1,1.9428759392572
5.8,-0.49,1.78,62.3,0.044,-208,152,0.9961,3.31,-2.01,9.4,0,6,TRUE,1,3.23818101064272
2.8,0.46,0.44,-66,0.052,4,8,1.05282,3.33,1.67,6.9,-2,11,FALSE,NA,NA
12.5,0.43,1.78,3.6,0.551,7,45,0.96801,3.57,0.79,6.4,1,7,TRUE,2,4.25483118447505
7.4,0.18,0.29,52.2,-0.171,260,366,0.96443,3.54,0.6,10.5,0,8,TRUE,4,5.12533783369056
7.1,-0.49,-1,46.7,0.033,16,78,0.993,2.91,0.42,5.4,0,8,TRUE,3,4.25121131489444
3,-1.52,0.46,29.2,0.05,5,13,0.9974,4.32,0.79,10.2,0,11,TRUE,1,2.48322617851564
8.1,0.24,1.86,11,0.043,41,586,0.98863,2.52,-1.38,10,2,9,FALSE,NA,NA
17.1,0.41,0.66,-10.4,-0.983,77,194,0.9976,3.05,0.46,8.7,-1,8,TRUE,1,2.25849895972362
7.7,-0.96,1.58,1.4,0.608,15,102,0.9929,3.26,0.53,10.4,-1,8,TRUE,1,2.22708265917146
12.4,0.27,1.42,1.6,0.04,-47,86,1.01383,2.82,-0.22,7.8,0,7,TRUE,1,2.94229874590035
0.6,2.09,-0.56,29.8,0.054,225,16,1.01003,2.97,0.63,9.6,0,8,TRUE,2,3.39926551851392
6.7,1.21,0.28,29,0.286,21,105,0.9949,3.27,0.37,8.6,0,8,TRUE,1,2.70347671916316
-5.1,0.23,0.36,46.8,0.197,37,130,0.95194,5.1,0.43,10.1,0,7,TRUE,4,5.18875045091332
7.5,-1.17,0.32,19.8,0.036,25,-108,0.9962,2.06,0.31,3.4,1,8,TRUE,2,4.20411137030217
7.3,0.3,0.29,2.1,0.048,-3,-261,0.98956,5.01,1.36,12.6,0,7,TRUE,4,5.14428815319373
6.3,1.24,0.32,-18.9,0.04,155,-287,1.02361,3.24,2.18,11.3,-1,7,TRUE,1,2.1968323005229
10.9,-0.98,-0.74,5.9,0.003,35,88,0.97137,2.88,0.46,8.4,0,7,FALSE,NA,NA
1.7,0.41,0.3,3.2,0.03,49,357,0.9927,4.44,-0.39,11.7,0,7,FALSE,NA,NA
-4,-1.1,1.35,2.4,-0.808,35,115,0.98936,3.19,0.44,18.8,-1,8,TRUE,2,3.27604662951926
0.2,0.43,0.11,1.1,0.029,-233,51,0.93069,2.57,0.48,15.5,-1,6,TRUE,1,2.59519092620878
15.9,1.05,0.35,10.7,0.551,26,239,0.9984,3.6,0.52,9.1,-1,9,TRUE,3,3.31275391270827
6.8,0.25,2.5,-2.6,0.547,92,123,0.9951,3.03,-2.71,8.6,0,7,TRUE,2,3.73501512774133
-3.2,1.92,0.42,5.5,-0.334,29,-636,0.9973,3.42,1.31,10.5,0,8,TRUE,2,3.36901148268624
6.8,0.18,0.3,138.2,-0.195,88,443,0.99808,3.6,0.8,3.6,-2,7,TRUE,2,2.33192984648348
17.5,0.34,-1.05,3.7,0.174,6,12,0.997,3.19,0.7,12.1,1,11,FALSE,NA,NA
7.2,1.74,-0.92,-41.4,0.787,46,121,1.00183,3.44,0.61,11.2,0,7,TRUE,1,2.81174413808914
9.5,0.88,1.43,6.4,0.057,25,-86,0.97526,3.06,0.45,10.5,-1,7,TRUE,1,2.29200939901887
12.7,-0.25,0.32,50.1,-0.515,-211,102,0.97956,3.41,0.79,6.1,0,7,TRUE,2,3.70680079037767
6.2,-1.09,1.68,1,0.031,198,73,0.99032,3.42,0.98,8.7,0,7,TRUE,2,3.83753448280603
9.1,0.55,0.45,23.9,0.049,-161,513,0.9974,2.11,0.5,6.1,0,7,TRUE,1,2.8972021178992
-4.4,-0.05,1.46,-9.7,0.047,46,144,0.98881,2.31,-1.28,17.9,0,7,FALSE,NA,NA
2.3,-0.03,-1.13,2.1,0.227,8,-266,1.0343,4.09,0.74,10.3,0,8,FALSE,NA,NA
0.5,0.23,0.31,-46.7,-0.286,312,96,0.98613,2.56,0.54,15.6,2,7,TRUE,3,5.97236719945234
8.4,-0.44,0.56,2.2,0.026,108,104,0.96778,3.38,-1.43,17.1,1,7,TRUE,4,6.10707532375199
6.8,0.56,0.41,-61.8,0.22,79.5,183,0.99742,2.41,0.78,4.7,-1,7,FALSE,NA,NA
10.9,1.13,0.96,1.1,0.556,286,84,0.9927,2.58,-0.39,14.4,-1,7,TRUE,1,2.36437382956769
6.7,1.62,1.33,19.9,0.639,127,150,0.9968,3.22,0.51,9.9,0,7,TRUE,2,3.55677379052657
7.1,0.32,0.29,43.2,-0.1,20,31,0.99463,3.27,0.64,7.8,1,8,TRUE,2,4.17573967110669
6.6,-1.14,0.86,-7.9,0.169,-55,-193,0.99734,3.25,0.35,16.2,-1,7,TRUE,1,2.52301370046492
8.3,-0.48,0.1,67.1,0.081,45,202,0.9983,2.61,0.53,10,0,9,FALSE,NA,NA
-1.7,0.01,0.25,-49.4,-0.319,58,54,0.96419,3.27,0.44,15.5,1,8,TRUE,3,5.1335061701949
-1.7,2.38,0.24,-44.6,0.122,18,147,0.99315,3.42,0.62,10.4,1,8,TRUE,3,4.75045349497034
7.4,-1.2,-1.02,2.7,-0.355,30,107,0.98127,3.31,2.03,9.9,0,8,TRUE,3,4.41604798558315
9.2,0.19,0.46,2,0.047,16,49,0.99517,3.09,-1.13,10,-1,10,TRUE,1,1.88422155366462
8,-1.14,-0.73,65.5,-0.034,41,103,0.99002,3,-0.77,16.4,-1,9,FALSE,NA,NA
0.2,0.26,0.26,-40.2,0.036,578,214,0.9986,4.65,0.5,10,0,8,TRUE,1,2.95432851156973
15.5,0.2,1.37,-42,0.015,-82,-307,0.98493,4.2,0.55,12.05,-1,6,FALSE,NA,NA
4.8,0.75,0.28,-24.8,0.134,-239,322,0.96924,3.38,0.6,11.3,-1,5,TRUE,1,2.62399323244003
8.2,0.22,0.3,1.8,0.432,-173,185,0.9933,3.08,0.5,14.4,1,9,TRUE,4,5.50646537382802
7.3,-1.09,0.26,61,0.09,7,135,0.9944,3.01,-0.89,5.6,1,8,TRUE,1,3.56555722882112
-0.4,0.21,0.41,-38.6,-0.43,14,543,0.96566,2.96,0.53,13.4,0,10,TRUE,2,3.40926137765218
7,0.87,0.4,1.1,0.058,30,93,1.02299,2.23,1.12,12,-1,8,TRUE,1,2.11336553878154
9.4,2.085,0.2,2.4,0.355,-144,143,0.97286,3.28,0.58,6.8,-1,10,FALSE,NA,NA
3.4,0.42,-0.03,2.4,0.061,19,74,0.99184,4.46,-0.27,10.9,1,7,TRUE,2,4.40203513854014
6.7,0.42,0.46,9.7,0.054,67,-228,1.00612,2.22,0.5,9,1,8,TRUE,1,3.43483322041559
7.2,0.31,0.26,125.55,0.05,37,157,0.99625,2.7,0.01,11,0,8,TRUE,2,3.5865079169973
-7.1,0.23,0.56,73.15,0.063,204.5,693,1.00365,4.35,2.11,9.3,1,10,TRUE,3,4.63654054842487
6.1,-0.23,0.25,6.9,0.061,-25,21,0.9955,3.19,0.4,12,0,7,TRUE,1,3.06427304158129
7.4,-0.43,1.2,43.6,0.037,290,-7,0.96874,3.25,0.37,10.4,-1,8,TRUE,3,3.74740166059918
6.8,0.3,0.95,84.2,-0.409,45,150,0.94879,3.04,0.47,11.8,0,7,TRUE,1,3.13036170791779
6.6,0.88,-0.9,2.8,0.138,41,168,0.95668,3.2,1.08,8.7,0,7,TRUE,3,4.37676865208611
16.4,1.32,-0.28,41,0.315,-218,-97,0.9986,2.89,0.5,8.2,1,12,FALSE,NA,NA
7.3,1.44,2.04,12.8,-0.173,73,253,0.94876,4.19,0.71,13.6,0,8,TRUE,2,3.60250828017486
7.1,1.85,0.98,33.3,0.045,88,587,0.96586,3.16,0.39,1.4,2,8,TRUE,4,6.10056893022979
6.5,0.33,0.3,3.8,0.036,190,88,0.9442,3.25,2.01,12.5,-1,7,TRUE,2,3.13701668900472
7.2,0.92,-0.09,10.4,-0.169,-240,454,0.9459,2.96,-2.32,9.1,1,8,TRUE,1,3.54279846868622
7,-0.59,-0.62,2,0.364,10,203,0.98091,3.4,0.47,16.6,1,8,TRUE,2,4.4055372414443
6.5,0.46,0.41,16.8,0.084,-110,233,0.9923,4.41,-0.98,13.8,0,7,TRUE,1,3.07506115524298
8.9,1.84,0.51,-45.5,0.052,403,27,0.995,4.33,0.14,9.9,-1,10,FALSE,NA,NA
6.8,1.285,1.48,8.5,-0.327,10,-87,1.01657,2.67,1.97,9.5,-1,8,TRUE,2,2.75174856490223
8.2,1.42,-0.4,1.8,0.047,71,187,1.03856,3.13,0.5,16.8,-1,9,TRUE,1,2.01144457085816
6.4,0.31,0.66,18.3,-0.258,-152,101,0.9934,3.29,0.38,9,0,7,TRUE,2,3.69497088558118
19.2,1.84,0.32,-12.4,0.035,-169,-253,0.99144,2.45,0.6,12.9,0,8,TRUE,3,4.11908298485421
22.7,-0.33,2.56,-46.5,0.054,40,400,1.0338,4.73,0.47,10.8,2,7,TRUE,3,5.82487492524049
0.4,1.45,0.71,2.3,0.045,295,115,1.00802,3.17,0.43,8.8,0,9,TRUE,1,2.58949661091657
0.5,0.17,0.31,-19.7,-0.129,13,-233,0.993,2.79,0.37,9.3,0,9,TRUE,2,3.37551938026103
17.5,-0.07,-0.14,-36.2,0.317,29,113,0.99188,3.13,1.2,18.6,0,7,TRUE,1,3.15160298144954
8,0.22,0.42,-33.4,0.894,73,589,1.0003,3.81,0.69,8.6,0,9,TRUE,2,3.3218629676046
11.5,-0.6,0.73,-63,0.052,19,-16,0.9923,3.6,1.93,11.2,-1,8,FALSE,NA,NA
9.3,1.03,0.26,-33.8,0.042,-17,408,1.02106,3.29,1.99,9.8,-1,8,FALSE,NA,NA
7,0.21,-0.09,8.5,0.033,31,177,0.9953,3.22,0.56,2.3,-1,8,FALSE,NA,NA
7.8,0.16,0.25,1.4,-0.286,214,-42,0.94765,2.82,0.44,11.1,-1,7,TRUE,2,3.18818756221733
17.1,0.14,0.76,-35.6,0.625,26,-284,1.01779,3.25,0.45,18.1,1,6,TRUE,3,5.31346571582116
2.3,0.53,0.93,35.6,-0.454,-251,163,1.03814,5.76,0.83,10.3,0,7,TRUE,1,2.93588476315631
18.1,0.705,0.96,1.8,-0.213,15,63,0.99901,3,1.59,9.5,1,8,FALSE,NA,NA
11.4,1.375,0.04,2,0.087,12,67,0.99565,3.61,1.61,9.4,0,8,FALSE,NA,NA
6.4,-0.21,3.19,5.3,0.409,57,-15,0.9953,3.31,1.3,9.8,0,7,TRUE,2,3.69276940346789
-15.4,0.52,0.36,35.9,0.138,41,536,0.95449,3.98,0.38,5.8,0,7,FALSE,NA,NA
16,-0.17,-0.18,-85.6,0.282,18,156,0.99666,5.03,1.84,9,0,7,TRUE,3,4.39783769645456
16.1,0.24,0.29,-61.5,-0.018,17,117,0.99411,3.36,0.68,6.9,0,8,TRUE,3,4.21703867471153
7,0.42,0.19,-81.1,0.071,177,-232,0.99476,3.39,0.56,10.9,0,8,TRUE,2,3.55335503132449
6.2,0.25,1.97,-13.5,0.046,-196,831,0.99454,3.19,0.58,9.3,0,7,TRUE,3,4.44270475893195
3,-1.22,1.36,19.3,0.049,-149,209,0.95998,5.54,1.25,2.5,2,7,TRUE,3,5.73992604527447
-0.8,1.18,-0.33,-5.4,0.04,83,96,0.9912,3.06,0.61,12.1,0,9,TRUE,2,3.36154711808954
-7,-0.74,0.33,1.8,-0.298,-232,-279,1.03992,2.66,0.4,-0.5,-1,7,FALSE,NA,NA
6.9,-1.17,0.38,104.1,0.039,-266,-263,0.9943,4.25,0.42,14.3,1,7,TRUE,3,5.22001320333095
1,0.23,0.33,48.9,0.049,153,183,1.04921,4.41,0.9,9.8,1,8,TRUE,3,4.9067934139507
6.3,0.25,0.44,12.1,0.041,48,-142,0.9968,3.18,0.52,9.5,-1,7,FALSE,NA,NA
19.7,-0.79,0.36,17.2,0.039,281,130,0.99946,4.36,-1.11,12.4,1,7,FALSE,NA,NA
6.3,-0.33,-0.61,1.8,0.048,35,161,1.00753,3.14,0.56,10.6,-1,8,FALSE,NA,NA
6.1,0.23,0.37,7.9,0.02,40,150,0.99488,2.86,0.49,5.4,1,7,TRUE,4,5.742933611833
5,0.7,-1.47,14.35,0.552,-216,-82,0.9988,2.93,-0.63,12.8,1,8,TRUE,2,4.14000250472672
5.3,0.38,0.26,3.5,0.035,100,111,0.94238,3.18,0.47,14.1,2,7,FALSE,NA,NA
7.3,1.7,0.07,-0.8,-0.161,25,369,0.9948,2.66,-0.92,9.1,-1,8,TRUE,2,2.82692443540235
6.2,0.25,-2.79,-29.7,0.049,-83.5,568,0.9972,3.19,-0.06,9.9,0,7,TRUE,2,3.74844664492537
6,0.86,1.81,-23.9,0.038,56,189.5,0.99637,3.59,0.43,10.6,-1,6,TRUE,1,2.47322315407328
7.5,-0.39,0.56,2.7,0.067,-208,25,1.02427,3.24,-1.18,13.6,0,8,FALSE,NA,NA
6.4,0.775,1.24,1.1,-0.244,44,140,1.00548,3.17,-0.34,16.7,-1,7,TRUE,1,2.46659287217879
2.8,2.74,-0.21,46.1,0.045,-12,-157,0.98664,3.45,-0.21,13.2,0,9,TRUE,2,3.22775254378591
7.6,-0.46,0.33,2,-0.459,78,483,0.97949,3.39,0.56,5.9,0,8,TRUE,2,3.64966039932058
0.4,-1.11,-1.13,14.3,-0.1,45,-146,0.99816,4.08,0.63,4,0,8,TRUE,1,2.8330449436951
7.2,1.69,-0.98,-23.1,0,9,343,0.9972,2.65,1.41,9.6,1,8,FALSE,NA,NA
10.4,0.15,0.36,60.5,-0.425,-247,134,1.0164,3.28,-0.18,9.8,0,7,TRUE,2,3.71831302775414
1.5,0.16,0.27,-41.3,0.496,25,135,0.97707,4.02,-1.07,8.7,-2,8,FALSE,NA,NA
6.1,0.34,0.46,2.4,0.029,21,-215,1.02431,3.29,3.73,9.2,0,7,FALSE,NA,NA
4,-0.8,3.41,-4.8,-0.496,146,136,0.9932,3.3,0.96,9.8,1,8,TRUE,3,5.09955067921136
-4,-0.49,0.43,0.9,0.038,149,729,0.98598,3.24,0.46,10.6,0,6,TRUE,2,4.05023977988404
7.3,1.24,0.08,25,0.057,145,-166,1.04535,2.54,0.36,10.3,0,9,TRUE,3,3.98255527298118
6.8,-1.89,1.3,46.1,0.531,38,153,0.97853,3.24,-0.22,0.9,-1,7,TRUE,1,2.34110154888763
7.7,0.44,-1.1,11.2,0.031,343,167,0.97879,3.4,0.43,11.3,0,8,TRUE,4,5.08614490232669
6.9,0.2,1.88,-22.4,0.083,78,167,0.99929,3.32,1,12.8,-1,8,FALSE,NA,NA
11.6,0.585,0.09,61.7,-0.496,14,86,0.99264,3.64,0.94,4.8,0,6,TRUE,1,3.08014073714741
28.9,-1.28,-1.1,13.7,0.056,119,76,0.98249,2.1,0.44,8.7,-1,8,TRUE,2,3.02875657425002
7.4,0.3,0.61,-12.5,0.377,51,116,0.9953,4.27,0.59,15.6,-2,7,TRUE,1,1.74353970026004
14.7,0.3,0.52,7.5,0.05,467,191,0.99366,3.17,-1.08,6.9,1,7,TRUE,1,3.73839257124935
10.4,1.01,0.5,2.3,0.297,13,19,0.996,3.1,0.87,11.4,0,11,FALSE,NA,NA
5.8,0.6,0.22,1.3,0.046,18,66,0.99307,4.87,0.55,10.3,1,7,TRUE,3,5.07149555380333
6.1,1.76,-1.1,5,0.042,17,133,1.02882,2.55,-1.13,9.4,-1,7,FALSE,NA,NA
5.8,0.19,0.37,1.1,0.279,31,451,0.98942,3.53,0.48,11.4,0,6,TRUE,2,3.92815505651486
7.4,0.05,0.78,-56.1,0.082,258,82,0.98074,4.52,1.57,14.7,-1,8,TRUE,1,2.30720102343687
4.9,-1.14,1.25,57,-0.38,31,40,0.9849,3.33,0.44,6.433333333,0,6,TRUE,4,5.42329125509665
6.2,0.45,1.63,13.1,-0.07,3,-87,0.95659,4.52,0.76,9,1,7,FALSE,NA,NA
8,0.43,1.12,12.4,0.168,29,190,1.01594,2.41,2.3,9.2,-1,9,TRUE,3,3.34452368612907
9.4,-0.585,0.68,-16.3,0.082,3,10,0.95612,2.21,0.71,17.2,-1,10,TRUE,2,2.78799197038834
17.8,0.61,0,-55.8,0.625,168,8,0.96345,2.54,0.37,10.4,0,7,FALSE,NA,NA
6.1,0.3,0.58,119.3,0.049,258,187,0.9927,1.99,0.85,9.5,1,7,FALSE,NA,NA
11.6,1.59,0.34,1.6,0.311,33,176,0.9946,2.55,0.98,9.7,-2,10,TRUE,2,1.74354516551803
9.7,-0.18,0.29,14.4,-0.548,54,-91,0.9991,3.17,1.07,8.9,1,7,TRUE,2,4.43223448298131
12.6,-1.04,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,0,8,TRUE,1,2.97131465519307
7.4,0.18,-0.54,1.5,0.003,-159,316,0.96141,3.43,0.85,16.8,1,7,TRUE,3,5.2459416757842
0.9,0.34,0.57,0.9,-0.157,29,134,0.99462,4.04,1.1,10.7,-1,7,FALSE,NA,NA
12.6,1.62,-0.46,60.6,0.065,5,253,0.96459,3.27,3.75,11.2,-1,9,FALSE,NA,NA
4.6,-2.56,1.41,-61.15,0.045,-86,131,1.00309,4.21,1,11.7,-1,8,TRUE,4,4.56601279953843
6.8,-0.15,-0.24,3.8,-0.254,16,458,0.9969,3.28,1.93,9.5,0,8,FALSE,NA,NA
-0.8,0.28,0.29,42.4,0.051,-121,-221,1.06875,3.07,0.99,6,-1,7,TRUE,1,2.11763968103454
5.9,0.51,1.3,1.4,0.141,52,119,0.9931,4.19,1.73,10.5,-1,6,TRUE,1,2.45470257097944
6.9,0.24,0.39,55.9,-0.087,223,136,0.9928,2.66,0.62,15,-1,8,TRUE,1,2.32427230111226
10.4,0.27,-2.71,7.6,1.228,35,432,1.03513,4.62,-0.81,16.1,1,7,TRUE,3,5.11860908232751
9.2,-0.37,0.28,-39.5,0.043,17,-196,1.01507,3.99,2.29,13.2,1,7,FALSE,NA,NA
17,1.44,0.83,6.1,-0.602,-445,-167,0.99054,3.19,2.57,13.7,0,7,TRUE,2,3.58621722371257
11.1,1.43,1.74,-38.5,0.28,-3,141,0.9962,3.25,0.51,3.3,1,9,TRUE,3,4.51361813048163
5.6,0.64,1.25,48.1,0.043,21,159,0.9948,3.52,0.6,18.1,-1,8,FALSE,NA,NA
-0.1,0.24,0.31,2.8,-0.427,-122,330,1.01812,2.53,-2.37,11.7,0,7,FALSE,NA,NA
